name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kenya,2022-09-01,75.4,57.2,65.9,75.4,57.2,65.9,51.5,62.4,0,0,0,,0,0,19,11.3,72.5,1021.1,88.2,6.3,162.2,14,6,10,2022-09-01T06:30:10,2022-09-01T18:35:26,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-02,66.4,57,61.7,66.4,57,61.7,53.4,75,0,0,0,rain,0,0,21.9,13.6,116.2,1022.1,87,6.4,173.3,14.9,7,10,2022-09-02T06:29:49,2022-09-02T18:35:08,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-03,73.6,55.6,64.1,73.6,55.6,64.1,52.2,66.6,0,0,0,,0,0,19.9,13.2,157,1022.7,87.7,6.3,167.7,14.5,6,10,2022-09-03T06:29:28,2022-09-03T18:34:51,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-04,78.8,55.4,66.1,78.8,55.4,66.1,53.4,67.2,0,0,0,rain,0,0,19.2,11.8,81.7,1022.7,85.2,6.1,213.2,18.4,7,10,2022-09-04T06:29:07,2022-09-04T18:34:33,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-05,78.6,57.2,66.5,78.6,57.2,66.5,53.1,63.6,0,0,0,rain,0,0,16.1,13.7,48.7,1023.3,80.9,6.4,242.3,20.8,8,10,2022-09-05T06:28:45,2022-09-05T18:34:15,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-06,77.2,57.2,64.5,77.2,57.2,64.5,56.6,77.5,0.433,100,4.17,rain,0,0,15,11,66,1022.7,86,6.3,197.6,17,7,10,2022-09-06T06:28:23,2022-09-06T18:33:57,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-07,66.2,59,61.2,66.2,59,61.2,57.8,88.7,0,0,0,rain,0,0,21.5,9.2,132.2,1022.3,93.6,6.1,149.2,13,6,10,2022-09-07T06:28:01,2022-09-07T18:33:38,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-08,66.2,57,60.9,66.2,57,60.9,54.6,80.2,0,0,0,,0,0,17.7,10.9,63.4,1022.2,91.4,6.3,109,9.3,4,10,2022-09-08T06:27:38,2022-09-08T18:33:20,0.43,Overcast,Cloudy skies throughout the day.,cloudy,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-09,68,57,62.8,68,57,62.8,51.6,67.4,0,0,0,rain,0,0,19.5,10.9,82.5,1022.3,88.8,6.3,137.6,11.8,6,10,2022-09-09T06:27:16,2022-09-09T18:33:01,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2022-09-10,75.4,56.9,65.1,75.4,56.9,65.1,50.8,61.7,0,0,0,rain,0,0,19,14.6,92.8,1022.9,81.1,6.3,185.2,16,7,10,2022-09-10T06:26:53,2022-09-10T18:32:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
